,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,prediction
48,0.09,0.83,6,255,4,0,1,0,sales,low,1
49,0.1,0.77,6,265,4,0,1,0,sales,low,1
50,0.1,0.84,6,279,4,0,1,0,sales,low,1
51,0.11,0.97,6,284,4,0,1,0,sales,low,1
52,0.9,1,5,221,6,0,1,0,sales,medium,0.625
53,0.09,0.94,7,267,4,0,1,0,sales,medium,1
54,0.24,0.46,7,224,5,0,1,0,accounting,medium,0.053642914
55,0.91,1,4,257,5,0,1,0,accounting,medium,0.625
56,0.71,0.87,3,177,4,0,1,0,hr,medium,0.028291271
57,0.09,0.85,6,289,4,0,1,0,hr,high,1
58,0.9,0.96,4,258,5,0,1,0,technical,medium,0.625
59,0.84,1,5,234,5,0,1,0,technical,medium,0.625
60,0.11,0.84,6,251,4,0,1,0,technical,low,1
61,0.14,0.62,4,158,4,1,1,0,technical,low,0.028291271
62,0.75,1,4,216,6,0,1,0,technical,low,0.625
63,0.11,0.84,6,300,5,1,1,0,support,low,1
64,0.11,0.92,6,260,4,0,1,0,support,low,1
65,0.7,0.89,3,183,5,0,1,0,support,low,0.625
66,0.09,0.82,6,250,4,0,1,0,support,low,1
67,0.1,0.83,6,292,4,0,1,0,support,low,1
68,0.9,1,5,221,5,0,1,0,support,low,0.625
69,0.31,0.84,7,133,5,0,1,0,technical,low,0.625
70,0.1,0.84,6,283,4,1,1,0,technical,low,1
71,0.74,1,4,249,5,0,1,0,IT,low,0.625
72,0.73,0.87,5,257,5,0,1,0,IT,low,0.625
73,0.09,0.96,6,245,4,0,1,0,IT,low,1
74,0.11,0.8,6,256,4,0,1,0,IT,low,1
75,0.84,0.99,4,267,5,0,1,0,product_mng,low,0.625
76,0.76,0.92,4,239,5,0,1,0,product_mng,low,0.625
77,0.11,0.87,6,306,4,0,1,0,IT,low,1
78,0.84,0.88,4,263,5,1,1,0,marketing,low,0.625
79,0.11,0.91,6,278,4,0,1,0,marketing,low,1
80,0.11,0.8,6,304,4,0,1,0,accounting,low,1
81,0.83,1,5,240,5,0,1,0,support,low,0.625
82,0.11,0.92,6,305,4,0,1,0,technical,low,1
83,0.1,0.95,7,301,4,0,1,0,marketing,low,1
84,0.9,0.98,5,243,6,0,1,0,marketing,low,0.625
85,0.79,0.89,5,239,5,0,1,0,sales,low,0.625
86,0.9,0.99,5,260,5,0,1,0,sales,low,0.625
87,0.11,0.84,7,296,4,0,1,0,sales,low,1
88,0.31,0.54,5,132,5,0,1,0,sales,low,0.053642914
89,0.32,0.5,2,135,5,0,1,0,sales,low,0.053642914
90,0.81,0.99,4,259,5,0,1,0,sales,low,0.625
91,0.11,0.78,7,278,4,0,1,0,sales,low,1
92,0.1,0.88,6,284,4,0,1,0,sales,low,1
93,0.7,0.53,2,274,4,0,1,0,sales,low,0.028291271
94,0.54,0.74,4,164,2,0,1,0,sales,low,0.028291271
95,0.11,0.85,6,308,5,0,1,0,sales,medium,1
96,0.1,0.84,6,261,4,0,1,0,accounting,medium,1
97,0.89,0.99,5,257,5,0,1,0,accounting,medium,0.625
98,0.11,0.8,6,285,4,0,1,0,accounting,medium,1
99,0.09,0.85,6,297,4,0,1,0,hr,medium,1
100,0.09,0.8,7,283,5,0,1,0,technical,low,1
101,0.92,0.87,4,226,6,1,1,0,technical,medium,0.625
102,0.74,0.91,4,232,5,0,1,0,technical,medium,0.625
103,0.09,0.82,6,249,4,0,1,0,technical,medium,1
104,0.89,0.95,4,275,5,0,1,0,technical,medium,0.625
105,0.09,0.8,6,304,4,0,1,0,technical,low,1
106,0.27,0.54,7,278,3,0,1,0,technical,low,0.028291271
107,0.1,0.91,6,287,4,0,1,0,technical,low,1
108,0.1,0.89,7,285,4,0,1,0,technical,low,1
109,0.77,0.94,5,226,6,0,1,0,support,low,0.625
110,0.9,0.82,5,259,5,0,1,0,support,low,0.625
111,0.76,1,5,219,5,0,1,0,support,low,0.625
112,0.1,0.93,6,256,4,0,1,0,support,low,1
113,0.87,0.9,5,254,6,0,1,0,support,low,0.625
114,0.77,0.99,5,228,5,0,1,0,support,low,0.625
115,0.78,0.87,4,228,5,0,1,0,support,low,0.625
116,0.88,1,5,219,5,0,1,0,technical,low,0.625
117,0.9,0.98,5,245,5,0,1,0,IT,low,0.625
118,0.89,0.87,5,225,5,0,1,0,product_mng,low,0.625
119,0.1,0.84,6,286,4,0,1,0,product_mng,low,1
120,0.87,0.9,5,252,5,0,1,0,IT,low,0.625
121,0.9,0.97,4,258,5,0,1,0,accounting,low,0.625
122,0.85,0.95,5,236,5,0,1,0,hr,low,0.625
123,0.78,0.98,5,239,6,0,1,0,marketing,low,0.625
124,0.92,0.99,5,255,6,0,1,0,sales,low,0.625
125,0.11,0.83,6,244,4,0,1,0,accounting,low,1
126,0.48,0.57,4,270,4,0,1,0,technical,low,0.028291271
127,0.83,0.85,4,255,5,0,1,0,management,low,0.625
128,0.1,0.97,7,254,4,0,1,0,sales,low,1
129,0.1,0.87,7,289,4,0,1,0,sales,low,1
130,0.89,0.86,5,275,5,0,1,0,sales,low,0.625
131,0.87,0.91,4,228,5,0,1,0,sales,low,0.625
132,0.11,0.84,6,298,4,0,1,0,sales,low,1
133,0.79,0.87,5,261,5,0,1,0,sales,low,0.625
134,0.79,0.92,5,254,6,0,1,0,sales,low,0.625
135,0.19,0.59,7,192,3,0,1,0,sales,low,0.028291271
136,0.87,0.98,4,248,5,0,1,0,sales,low,0.625
137,0.6,0.92,2,258,5,0,1,0,sales,low,0.625
138,0.11,0.81,6,266,4,1,1,0,sales,medium,1
139,0.88,0.88,5,232,5,1,1,0,accounting,medium,0.625
140,0.11,0.84,6,287,4,0,1,0,accounting,medium,1
141,0.82,0.97,5,263,5,0,1,0,hr,medium,0.625
142,0.11,0.78,6,260,4,0,1,0,hr,medium,1
143,0.84,0.93,4,251,5,0,1,0,technical,medium,0.625
144,0.11,0.95,6,286,4,0,1,0,technical,medium,1
145,0.38,0.86,6,139,6,0,1,0,technical,medium,0.625
146,0.11,0.84,6,251,4,0,1,0,technical,medium,1
147,0.81,0.93,5,270,5,0,1,0,technical,medium,0.625
148,0.09,0.96,6,296,4,0,1,0,technical,low,1
149,0.11,0.9,6,254,4,0,1,0,technical,low,1
150,0.81,0.95,5,238,6,0,1,0,technical,low,0.625
151,0.1,0.97,6,267,4,1,1,0,support,low,1
152,0.74,0.89,5,229,6,0,1,0,support,low,0.625
153,0.09,0.78,6,254,4,0,1,0,support,low,1
154,0.82,0.81,4,233,4,1,1,0,support,low,0.028291271
155,0.1,0.98,6,268,4,0,1,0,support,low,1
156,0.83,0.92,5,267,6,0,1,0,support,low,0.625
157,0.1,0.93,6,289,4,1,1,0,support,low,1
158,0.11,0.83,6,306,4,0,1,0,support,low,1
159,0.11,0.79,6,292,4,0,1,1,technical,low,1
160,0.82,0.91,5,232,5,0,1,0,technical,low,0.625
161,0.87,0.84,5,231,5,0,1,0,IT,low,0.625
162,0.11,0.91,6,308,4,1,1,0,IT,low,1
163,0.1,0.93,6,253,4,0,1,0,IT,medium,1
164,0.74,0.84,5,249,5,0,1,0,product_mng,medium,0.625
165,0.12,1,3,278,4,0,1,0,RandD,medium,0.028291271
166,0.1,0.77,7,250,5,0,1,0,RandD,medium,1
167,0.89,0.87,5,255,5,0,1,0,RandD,medium,0.625
168,0.11,0.81,5,287,4,0,1,0,sales,low,1
169,0.1,0.94,6,285,4,0,1,0,support,medium,1
170,0.1,0.93,7,305,4,0,1,0,technical,medium,1
171,0.11,0.95,7,300,4,0,1,0,management,medium,1
172,0.1,0.81,6,268,4,0,1,0,marketing,low,1
173,0.73,0.86,4,245,6,0,1,0,sales,low,0.625
174,0.11,0.94,6,276,4,0,1,0,sales,low,1
175,0.82,0.84,5,244,5,0,1,0,sales,low,0.625
176,0.11,0.91,7,287,4,0,1,0,sales,low,1
177,0.88,0.99,5,262,6,0,1,0,sales,low,0.625
178,0.1,0.85,6,266,4,0,1,0,sales,low,1
179,0.11,0.85,7,302,4,0,1,0,sales,low,1
180,0.09,0.98,6,271,4,0,1,0,sales,low,1
181,0.1,0.81,6,290,4,0,1,0,accounting,medium,1
182,0.77,0.87,5,266,5,0,1,0,accounting,medium,0.625
183,0.1,0.91,6,246,4,0,1,0,hr,medium,1
184,0.09,0.89,7,308,5,0,1,0,hr,medium,1
185,0.9,1,5,232,5,0,1,0,technical,medium,0.625
186,0.1,0.86,6,278,4,0,1,0,technical,high,1
187,0.81,1,4,253,5,0,1,0,technical,low,0.625
188,0.11,0.8,6,282,4,0,1,0,technical,medium,1
189,0.11,0.84,7,264,4,0,1,0,technical,medium,1
190,0.09,0.8,6,304,5,0,1,0,technical,medium,1
191,0.48,0.93,3,219,6,0,1,0,technical,low,0.625
192,0.91,0.91,4,262,6,0,1,0,support,low,0.625
193,0.33,0.88,6,219,5,0,1,0,support,low,0.625
194,0.31,0.62,6,135,5,0,1,0,support,low,0.053642914
195,0.09,0.91,6,275,4,0,1,0,support,low,1
196,0.1,0.87,6,290,4,0,1,0,support,low,1
197,0.76,0.9,4,263,5,0,1,0,support,low,0.625
198,0.72,0.96,5,267,5,0,1,0,technical,low,0.625
199,0.91,0.87,4,235,5,0,1,0,technical,low,0.625
200,0.1,0.83,6,258,4,0,1,0,management,low,1
201,0.82,0.86,5,243,5,0,1,0,IT,low,0.625
202,0.1,0.82,6,266,4,0,1,0,IT,low,1
203,0.86,0.84,5,254,5,0,1,0,product_mng,medium,0.625
204,0.73,0.99,5,262,5,0,1,0,product_mng,medium,0.625
205,0.56,0.71,4,296,2,0,1,0,IT,medium,0.028291271
206,0.77,0.93,4,231,5,0,1,0,hr,medium,0.625
207,0.75,0.9,5,256,5,0,1,0,support,low,0.625
208,0.1,0.93,6,298,4,0,1,0,technical,medium,1
209,0.1,0.97,6,247,4,0,1,0,management,medium,1
210,0.78,1,4,253,5,0,1,0,marketing,low,0.625
211,0.84,1,4,261,5,0,1,0,sales,low,0.625
212,0.11,0.93,6,282,4,0,1,0,sales,low,1
213,0.09,0.79,6,293,5,0,1,0,sales,low,1
214,0.87,0.83,4,265,6,0,1,0,sales,low,0.625
215,0.1,0.87,6,250,4,0,1,0,sales,low,1
216,0.91,1,5,251,6,0,1,0,sales,low,0.625
217,0.76,0.92,4,246,5,0,1,0,sales,low,0.625
218,0.74,1,5,275,5,0,1,0,sales,low,0.625
219,0.92,0.93,5,240,5,0,1,0,sales,low,0.625
220,0.76,0.87,5,245,5,0,1,0,sales,low,0.625
221,0.47,0.5,4,254,4,0,1,0,sales,low,0.028291271
222,0.73,0.99,5,241,5,0,1,0,sales,low,0.625
223,0.09,0.94,6,257,4,0,1,0,sales,low,1
224,0.91,0.92,4,246,5,0,1,0,sales,low,0.625
225,0.82,0.98,4,233,5,0,1,0,sales,low,0.625
226,0.28,0.45,6,218,4,0,1,0,accounting,low,0.028291271
227,0.84,0.99,4,262,6,0,1,0,accounting,medium,0.625
228,0.91,0.97,5,233,5,0,1,0,hr,medium,0.625
229,0.82,1,4,229,6,0,1,0,hr,medium,0.625
230,0.11,0.9,6,264,4,0,1,0,technical,medium,1
231,0.42,0.53,3,199,4,0,1,0,technical,medium,0.028291271
232,0.82,0.85,4,223,5,0,1,0,technical,medium,0.625
233,0.09,0.96,6,268,4,0,1,0,technical,medium,1
234,0.1,0.94,6,287,4,0,1,0,technical,medium,1
235,0.86,1,5,257,5,0,1,0,technical,medium,0.625
236,0.74,0.92,4,261,5,0,1,0,technical,medium,0.625
237,0.55,0.6,3,180,4,0,1,0,technical,medium,0.028291271
238,0.89,0.65,5,195,6,0,1,0,support,low,0.053642914
239,0.87,0.84,4,264,6,0,1,0,support,low,0.625
240,0.1,0.84,6,309,4,0,1,0,support,low,1
241,0.11,0.85,6,261,4,0,1,0,support,low,1
242,0.77,0.9,4,237,5,0,1,0,support,low,0.625
243,0.36,0.78,2,151,4,0,1,0,technical,low,0.028291271
244,0.77,1,5,229,5,0,1,0,management,low,0.625
245,0.81,0.98,5,245,5,0,1,0,IT,low,0.625
246,0.09,0.94,6,283,5,0,1,0,IT,low,1
247,0.1,0.84,5,298,4,0,1,0,IT,low,1
248,0.81,0.92,5,239,5,0,1,0,product_mng,low,0.625
249,0.81,0.9,4,226,5,0,1,0,product_mng,medium,0.625
250,0.85,0.98,5,248,5,0,1,0,product_mng,medium,0.625
251,0.1,0.87,6,286,4,0,1,0,IT,medium,1
252,0.09,0.97,7,254,4,1,1,0,RandD,medium,1
253,0.86,0.93,5,223,5,0,1,0,RandD,medium,0.625
254,0.77,1,4,255,5,0,1,0,RandD,medium,0.625
255,0.8,0.53,3,255,5,0,1,0,technical,high,0.053642914
256,0.8,0.85,4,273,5,0,1,0,management,low,0.625
257,0.82,0.98,5,234,5,0,1,0,marketing,medium,0.625
258,0.09,0.95,6,292,4,0,1,0,sales,medium,1
259,0.9,0.92,5,245,5,0,1,0,sales,low,0.625
260,0.1,0.85,6,260,4,0,1,0,sales,low,1
261,0.89,0.85,5,266,5,0,1,0,sales,low,0.625
262,0.87,1,5,242,5,0,1,0,sales,low,0.625
263,0.11,0.87,5,271,4,0,1,0,sales,low,1
264,0.09,0.79,6,275,4,0,1,0,sales,low,1
265,0.76,0.83,5,227,5,0,1,0,sales,low,0.625
266,0.11,0.96,7,277,5,0,1,0,sales,low,1
267,0.1,0.79,6,274,4,0,1,0,sales,low,1
268,0.77,0.87,4,242,6,0,1,0,sales,low,0.625
269,0.32,0.95,5,172,2,0,1,0,sales,low,0.028291271
270,0.19,1,4,192,4,0,1,0,accounting,low,0.028291271
271,0.1,0.83,7,276,4,0,1,0,accounting,low,1
272,0.76,0.88,4,206,4,0,1,0,hr,medium,0.028291271
273,0.53,0.56,4,281,6,0,1,0,hr,medium,0.053642914
274,0.11,0.83,6,244,4,0,1,0,hr,medium,1
275,0.1,0.94,6,309,4,0,1,0,technical,medium,1
276,0.84,1,5,218,5,0,1,0,technical,medium,0.625
277,0.82,0.99,4,263,6,0,1,0,technical,medium,0.625
278,0.1,0.82,6,244,4,0,1,0,technical,medium,1
279,0.59,0.49,7,263,4,0,1,0,technical,medium,0.028291271
280,0.89,0.95,2,181,5,0,1,0,technical,medium,0.625
281,0.91,0.84,5,265,5,0,1,0,technical,medium,0.625
282,0.66,0.57,5,161,5,0,1,0,technical,high,0.053642914
283,0.11,0.87,7,282,5,0,1,0,technical,low,1
284,0.78,0.83,4,217,6,0,1,0,support,medium,0.625
285,0.11,0.97,6,289,5,0,1,0,support,medium,1
286,0.83,0.98,4,259,5,0,1,0,support,medium,0.625
287,0.53,0.85,2,164,5,0,1,0,support,low,0.625
288,0.09,0.96,6,259,4,0,1,0,support,low,1
289,0.11,0.89,6,293,4,0,1,0,support,low,1
290,0.83,0.96,5,275,5,0,1,0,support,low,0.625
291,0.88,1,5,219,6,1,1,0,technical,low,0.625
292,0.1,0.89,6,247,4,0,1,0,technical,low,1
293,0.09,0.86,7,309,4,0,1,0,technical,low,1
294,0.87,0.94,4,274,5,0,1,0,IT,low,0.625
295,0.74,0.99,4,233,5,0,1,0,IT,low,0.625
296,0.1,0.95,7,289,4,0,1,0,IT,low,1
297,0.74,0.82,4,239,6,0,1,0,IT,low,0.625
298,0.75,0.99,5,221,5,0,1,0,product_mng,low,0.625
299,0.09,0.9,7,289,4,0,1,0,product_mng,low,1
300,0.09,0.8,6,301,5,0,1,0,IT,medium,1
301,0.1,0.84,6,246,4,0,1,0,hr,medium,1
302,0.75,0.85,5,240,6,1,1,0,marketing,medium,0.625
303,0.11,0.85,6,305,4,0,1,0,accounting,medium,1
304,0.87,1,5,261,5,1,1,0,technical,medium,0.625
305,0.11,0.94,7,244,4,0,1,0,management,medium,1
306,0.81,0.87,4,254,5,0,1,0,marketing,low,0.625
307,0.77,0.91,5,236,5,0,1,0,marketing,medium,0.625
308,0.89,0.92,5,237,5,0,1,0,sales,medium,0.625
309,0.78,1,5,236,5,0,1,0,sales,medium,0.625
310,0.85,0.82,4,270,5,0,1,0,sales,low,0.625
311,0.11,0.96,6,298,4,0,1,0,sales,low,1
312,0.75,0.99,5,254,5,0,1,0,sales,low,0.625
313,0.82,0.85,5,248,5,0,1,0,sales,low,0.625
314,0.79,1,5,257,6,0,1,0,sales,low,0.625
315,0.1,0.9,7,281,4,0,1,0,sales,low,1
316,0.11,0.8,7,296,4,0,1,0,sales,low,1
317,0.09,0.86,6,279,4,0,1,0,sales,low,1
318,0.1,0.77,7,291,4,0,1,0,accounting,low,1
319,0.79,0.58,3,294,4,0,1,0,hr,low,0.028291271
320,0.11,0.79,7,310,4,0,1,0,hr,low,1
321,0.1,0.97,6,282,4,0,1,0,hr,medium,1
322,0.25,0.46,4,214,4,0,1,0,technical,medium,0.028291271
323,0.73,1,4,252,5,0,1,0,technical,medium,0.625
324,0.75,0.97,5,243,6,0,1,0,technical,medium,0.625
325,0.48,0.78,2,198,2,0,1,0,technical,medium,0.028291271
326,0.57,0.72,4,275,6,0,1,0,technical,medium,0.053642914
327,0.9,0.96,5,243,5,0,1,0,technical,medium,0.625
328,0.81,0.88,5,242,5,0,1,0,support,medium,0.625
329,0.74,0.87,5,242,5,0,1,0,support,medium,0.625
330,0.8,0.83,2,211,3,0,1,0,support,low,0.028291271
331,0.87,0.9,5,258,5,0,1,0,support,low,0.625
332,0.1,0.8,6,264,4,0,1,0,technical,low,1
333,0.1,0.77,6,255,4,0,1,0,management,low,1
334,0.09,0.87,5,263,4,0,1,0,IT,low,1
335,0.86,0.84,5,222,5,0,1,0,IT,low,0.625
336,0.11,0.9,6,263,4,0,1,0,IT,low,1
337,0.11,0.92,7,307,4,0,1,0,IT,low,1
338,0.77,0.98,5,259,6,0,1,0,product_mng,low,0.625
339,0.84,0.94,5,222,6,0,1,0,product_mng,low,0.625
340,0.1,0.84,7,250,4,0,1,0,product_mng,low,1
341,0.83,0.9,5,245,5,0,1,0,product_mng,low,0.625
342,0.11,0.79,6,292,4,0,1,0,IT,low,1
343,0.86,0.92,5,252,5,0,1,0,RandD,low,0.625
344,0.11,0.88,5,250,4,0,1,0,RandD,medium,1
345,0.1,0.85,7,279,4,0,1,0,RandD,medium,1
346,0.09,0.95,7,256,4,0,1,0,marketing,medium,1
347,0.81,0.97,5,243,5,0,1,0,support,medium,0.625
348,0.09,0.9,7,296,4,0,1,0,technical,medium,1
349,0.1,0.88,7,267,4,0,1,0,management,medium,1
350,0.83,0.95,4,251,5,0,1,0,marketing,medium,0.625
351,0.8,0.75,3,268,2,0,1,0,sales,medium,0.028291271
352,0.1,0.86,6,247,4,0,1,0,sales,medium,1
353,0.1,0.55,2,247,4,0,1,0,sales,medium,1
354,0.78,0.98,5,263,6,0,1,0,sales,low,0.625
355,0.72,0.85,5,244,6,0,1,0,sales,low,0.625
356,0.1,0.9,7,286,4,0,1,0,sales,low,1
357,0.11,0.89,6,260,5,0,1,0,sales,low,1
358,0.82,0.92,5,225,5,0,1,0,sales,low,0.625
359,0.84,0.83,4,227,5,0,1,0,accounting,low,0.625
360,0.74,0.97,4,228,5,0,1,0,hr,low,0.625
361,0.73,0.97,5,235,5,0,1,0,hr,low,0.625
362,0.51,0.83,5,249,4,0,1,0,technical,medium,0.028291271
363,0.09,0.88,6,269,4,0,1,0,technical,medium,1
364,0.09,0.77,6,290,4,0,1,0,technical,medium,1
365,0.1,0.89,7,308,4,0,1,0,technical,medium,1
366,0.77,1,4,232,5,0,1,0,technical,medium,0.625
367,0.79,0.86,5,235,5,0,1,0,support,medium,0.625
368,0.77,0.91,5,221,6,0,1,0,support,medium,0.625
369,0.78,0.89,5,274,6,0,1,0,support,medium,0.625
370,0.1,0.79,6,256,5,0,1,0,support,low,1
371,0.1,0.77,5,276,4,0,1,0,support,low,1
372,0.75,0.85,5,267,5,0,1,0,support,low,0.625
373,0.46,0.62,6,213,3,0,1,0,support,low,0.028291271
374,0.91,0.97,4,274,6,0,1,0,technical,low,0.625
375,0.1,0.92,6,258,4,0,1,0,technical,low,1
376,0.72,0.6,3,153,5,0,1,0,technical,low,0.053642914
377,0.11,0.95,6,245,4,0,1,0,management,low,1
378,0.11,0.94,6,264,4,0,1,0,IT,low,1
379,0.11,0.82,6,270,4,0,1,0,product_mng,low,1
380,0.73,0.89,5,236,6,0,1,0,product_mng,low,0.625
381,0.86,1,5,229,5,0,1,0,product_mng,low,0.625
382,0.1,0.83,6,269,4,0,1,0,IT,low,1
383,0.11,0.87,7,278,4,0,1,0,sales,low,1
384,0.86,0.98,3,158,5,0,1,0,sales,low,0.625
385,0.42,1,3,202,3,0,1,0,sales,medium,0.028291271
386,0.79,0.84,4,240,5,0,1,0,sales,medium,0.625
387,0.1,0.96,7,255,4,0,1,0,marketing,medium,1
388,0.09,0.92,7,254,4,0,1,0,sales,medium,1
389,0.09,0.82,6,257,4,0,1,0,accounting,medium,1
390,0.87,1,4,228,5,0,1,0,support,medium,0.625
391,0.42,0.75,3,218,4,0,1,0,management,medium,0.028291271
392,0.84,0.86,5,268,5,0,1,0,marketing,medium,0.625
393,0.1,0.83,6,278,4,0,1,0,marketing,medium,1
394,0.78,0.71,3,249,5,0,1,0,marketing,medium,0.053642914
395,0.35,0.99,3,236,4,0,1,0,sales,medium,0.028291271
396,0.1,0.81,7,291,4,0,1,0,sales,high,1
397,0.11,0.8,6,306,4,0,1,0,sales,low,1
398,0.89,0.82,4,243,5,0,1,0,sales,medium,0.625
399,0.79,0.93,4,226,5,0,1,0,sales,low,0.625
400,0.79,0.91,5,271,5,0,1,0,sales,low,0.625
401,0.11,0.87,6,255,4,0,1,0,sales,low,1
402,0.64,0.9,6,252,2,0,1,0,sales,low,0.028291271
403,0.84,0.98,5,270,5,0,1,0,sales,low,0.625
404,0.73,0.92,5,232,5,0,1,0,sales,low,0.625
405,0.11,0.78,6,243,4,0,1,0,hr,low,1
406,0.91,1,5,244,6,0,1,0,hr,low,0.625
407,0.8,1,5,260,5,0,1,0,hr,low,0.625
408,0.31,0.87,4,184,3,0,1,0,technical,low,0.028291271
409,0.09,0.83,6,282,4,0,1,0,technical,medium,1
410,0.79,0.94,4,232,5,0,1,0,technical,medium,0.625
411,0.11,0.92,7,255,4,0,1,0,support,medium,1
412,0.83,0.99,5,258,5,0,1,0,support,high,0.625
413,0.81,0.91,4,229,5,0,1,0,support,low,0.625
414,0.11,0.87,6,257,4,0,1,0,support,medium,1
415,0.11,0.85,7,275,4,0,1,0,support,medium,1
416,0.1,0.89,7,291,4,0,1,0,support,medium,1
417,0.5,0.54,5,153,4,0,1,0,support,low,0.028291271
418,0.11,0.9,6,301,4,0,1,0,technical,low,1
419,0.11,0.78,6,245,4,0,1,0,technical,low,1
420,0.86,0.84,4,246,6,0,1,0,IT,low,0.625
421,0.66,0.93,5,253,5,0,1,0,product_mng,low,0.625
422,0.77,0.92,5,235,5,0,1,0,IT,low,0.625
423,0.1,0.9,7,290,4,0,1,0,sales,low,1
424,0.09,0.93,6,249,4,0,1,0,sales,low,1
425,0.83,0.99,4,223,5,0,1,0,accounting,medium,0.625
426,0.09,0.87,3,214,2,0,1,0,support,medium,1
427,0.75,0.81,5,227,5,0,1,0,technical,medium,0.053642914
428,0.1,0.84,6,293,5,0,1,0,marketing,medium,1
429,0.1,0.83,6,300,4,0,1,0,marketing,medium,1
430,0.1,0.86,6,309,4,0,1,0,sales,medium,1
431,0.31,0.77,4,149,3,0,1,0,sales,medium,0.028291271
432,0.1,0.97,6,254,5,0,1,0,sales,medium,1
433,0.11,0.93,6,294,4,0,1,0,sales,medium,1
434,0.1,0.92,7,269,4,0,1,0,sales,medium,1
435,0.11,0.9,7,247,4,0,1,0,sales,medium,1
436,0.44,0.65,3,271,4,0,1,0,sales,low,0.028291271
437,0.91,0.96,4,232,5,0,1,0,sales,low,0.625
438,0.72,1,4,245,5,0,1,0,sales,low,0.625
439,0.85,0.99,5,248,5,0,1,0,sales,low,0.625
440,0.78,0.93,5,225,5,0,1,0,sales,low,0.625
441,0.78,0.81,3,222,2,0,1,0,sales,low,0.028291271
442,0.1,0.92,6,243,4,1,1,0,sales,low,1
443,0.23,0.99,4,204,4,1,1,0,accounting,low,0.028291271
444,0.11,0.87,6,301,4,0,1,0,accounting,low,1
445,0.9,0.83,5,259,5,0,1,0,accounting,low,0.625
446,0.91,0.89,4,247,5,0,1,0,hr,low,0.625
447,0.11,0.79,7,295,4,0,1,0,hr,low,1
448,0.11,0.91,5,291,4,0,1,0,technical,low,1
449,0.11,0.93,6,253,4,1,1,0,technical,low,1
450,0.91,0.97,4,251,6,0,1,0,technical,low,0.625
451,0.85,0.82,5,264,6,0,1,0,technical,medium,0.625
452,0.1,0.77,6,310,4,0,1,0,technical,medium,1
453,0.81,0.95,5,266,5,0,1,0,technical,medium,0.625
